Language accepted: Java1.7 Parser
Command line: ../../jplag_helper/test_files 
initialize ok
240 submissions

240 submissions parsed successfully!
0 parser errors!


Comparing 28e913dd.java-c0bac2eb.java: 47.5
Comparing 28e913dd.java-c0bb1997.java: 62.857143
Comparing 28e913dd.java-c0d750bb.java: 67.69231
Comparing 28e913dd.java-c0da1d01.java: 55.737705
Comparing 28e913dd.java-c0da213d.java: 69.10995
Comparing 28e913dd.java-c0da94e3.java: 52.63158
Comparing 28e913dd.java-c20c64d7.java: 41.80791
Comparing 28e913dd.java-c21b77bf.java: 75.0
Comparing 28e913dd.java-c21dc96f.java: 81.48148
Comparing 28e913dd.java-c21e2a8f.java: 69.10995
Comparing 28e913dd.java-c22ae58f.java: 52.017937
Comparing 28e913dd.java-c236c1bf.java: 42.528736
Comparing 28e913dd.java-c238fc73.java: 74.73684
Comparing 28e913dd.java-c23abeaf.java: 0.0
Comparing 28e913dd.java-c23abf67.java: 71.42857
Comparing 28e913dd.java-c23ad191.java: 46.153847
Comparing 28e913dd.java-c248de89.java: 54.639175
Comparing 28e913dd.java-c254c319.java: 86.3388
Comparing 28e913dd.java-c2805355.java: 78.82353
Comparing 28e913dd.java-c28b5683.java: 92.57143
Comparing 28e913dd.java-c28d9159.java: 67.14286
Comparing 28e913dd.java-c3d30025.java: 49.49495
Comparing 28e913dd.java-c3dedfd9.java: 50.0
Comparing 28e913dd.java-c3e10fe9.java: 60.0
Comparing 28e913dd.java-c3efae2f.java: 60.240963
Comparing 28e913dd.java-c3fa108f.java: 53.88601
Comparing 28e913dd.java-c3fa1b77.java: 57.575756
Comparing 28e913dd.java-c3fb7879.java: 72.52747
Comparing 28e913dd.java-c3fb7c93.java: 48.58757
Comparing 28e913dd.java-c3fcc66f.java: 33.755276
Comparing 28e913dd.java-c3fcdd53.java: 33.15508
Comparing 28e913dd.java-c3fce495.java: 49.72973
Comparing 28e913dd.java-c3fdb9f1.java: 44.01914
Comparing 28e913dd.java-c3fdba4d.java: 78.65169
Comparing 28e913dd.java-c3fdc5b3.java: 75.55556
Comparing 28e913dd.java-c4089f1b.java: 46.05263
Comparing 28e913dd.java-c4091737.java: 36.714977
Comparing 28e913dd.java-c409843b.java: 86.734695
Comparing 28e913dd.java-c40987d7.java: 85.22727
Comparing 28e913dd.java-c409f973.java: 58.695652
Comparing 28e913dd.java-c40a78b9.java: 85.71429
Comparing 28e913dd.java-c40a7cb1.java: 44.808743
Comparing 28e913dd.java-c40aff9d.java: 69.94536
Comparing 28e913dd.java-c4173659.java: 70.0
Comparing 28e913dd.java-c417aac1.java: 69.461075
Comparing 28e913dd.java-c417aafb.java: 76.404495
Comparing 28e913dd.java-c417aea1.java: 74.72527
Comparing 28e913dd.java-c418269b.java: 36.0
Comparing 28e913dd.java-c4182efb.java: 71.57895
Comparing 28e913dd.java-c41900d3.java: 77.57576
Comparing 28e913dd.java-c41970f5.java: 71.204185
Comparing 28e913dd.java-c4245659.java: 35.75419
Comparing 28e913dd.java-c42465b7.java: 83.51649
Comparing 28e913dd.java-c4247087.java: 38.70968
Comparing 28e913dd.java-c4247157.java: 76.83616
Comparing 28e913dd.java-c4253f93.java: 70.0
Comparing 28e913dd.java-c433755f.java: 72.916664
Comparing 28e913dd.java-c44346d7.java: 70.114944
Comparing 28e913dd.java-c44352f5.java: 52.459015
Comparing 28e913dd.java-c5762555.java: 92.30769
Comparing 28e913dd.java-c595f40d.java: 76.190475
Comparing 28e913dd.java-c595f7a9.java: 82.22222
Comparing 28e913dd.java-c5b29371.java: 81.521736
Comparing 28e913dd.java-c5becd8f.java: 71.57895
Comparing 28e913dd.java-c5cde117.java: 67.53247
Comparing 28e913dd.java-c5dc59f5.java: 66.31579
Comparing 28e913dd.java-c5dc6573.java: 68.36735
Comparing 28e913dd.java-c5dc6879.java: 55.263157
Comparing 28e913dd.java-c5dc779d.java: 50.79365
Comparing 28e913dd.java-c5dce83d.java: 67.708336
Comparing 28e913dd.java-c5e6dd25.java: 75.97765
Comparing 28e913dd.java-c5e6e921.java: 61.878452
Comparing 28e913dd.java-c5e6efe5.java: 66.28571
Comparing 28e913dd.java-c5e749db.java: 75.13812
Comparing 28e913dd.java-c5e7613d.java: 66.666664
Comparing 28e913dd.java-c5e7d199.java: 47.727272
Comparing 28e913dd.java-c5e7d1bb.java: 67.5
Comparing 28e913dd.java-c5e7d5df.java: 66.29834
Comparing 28e913dd.java-c5e8465d.java: 77.59563
Comparing 28e913dd.java-c5e8a359.java: 44.736843
Comparing 28e913dd.java-c5e8ab97.java: 41.618496
Comparing 28e913dd.java-c5e99c13.java: 74.31694
Comparing 28e913dd.java-c5ea8439.java: 72.92818
Comparing 28e913dd.java-c5ea8819.java: 89.26553
Comparing 28e913dd.java-c5eae995.java: 27.480917
Comparing 28e913dd.java-c5f4f579.java: 70.21277
Comparing 28e913dd.java-c5f503e5.java: 86.36364
Comparing 28e913dd.java-c5f64a5f.java: 67.34694
Comparing 28e913dd.java-c5f65581.java: 83.333336
Comparing 28e913dd.java-c5f73e3d.java: 46.60194
Comparing 28e913dd.java-c5f836bd.java: 50.458717
Comparing 28e913dd.java-c5f8a395.java: 78.45304
Comparing 28e913dd.java-c72b7293.java: 75.13812
Comparing 28e913dd.java-c72be9d5.java: 36.363636
Comparing 28e913dd.java-c72c56d9.java: 66.01942
Comparing 28e913dd.java-c72c6693.java: 77.09497
Comparing 28e913dd.java-c72d47b1.java: 40.437157
Comparing 28e913dd.java-c72e3731.java: 56.179775
Comparing 28e913dd.java-c72f2433.java: 57.59162
Comparing 28e913dd.java-c73991d7.java: 48.618786
Comparing 28e913dd.java-c739ef2f.java: 74.72527
Comparing 28e913dd.java-c739f671.java: 68.0
Comparing 28e913dd.java-c73a0539.java: 72.6257
Comparing 28e913dd.java-c73a6f4f.java: 0.0
Comparing 28e913dd.java-c73ae6d5.java: 58.503403
Comparing 28e913dd.java-c73ae753.java: 71.51515
Comparing 28e913dd.java-c73bc3cf.java: 57.435898
Comparing 28e913dd.java-c7471e31.java: 75.97765
Comparing 28e913dd.java-c74b4071.java: 51.851852
Comparing 28e913dd.java-c74b442f.java: 98.32402
Comparing 28e913dd.java-c771e3d7.java: 52.459015
Comparing 28e913dd.java-c77f9621.java: 66.27907
Comparing 28e913dd.java-c79ca9c1.java: 51.06383
Comparing 28e913dd.java-c7ac2659.java: 88.13559
Comparing 28e913dd.java-c8e30c8d.java: 48.958332
Comparing 28e913dd.java-c8edf235.java: 77.89474
Comparing 28e913dd.java-c8ee5e77.java: 86.36364
Comparing 28e913dd.java-c8ee71ef.java: 80.72289
Comparing 28e913dd.java-c8eec791.java: 44.221104
Comparing 28e913dd.java-c8eecf51.java: 52.22222
Comparing 28e913dd.java-c8eed2b3.java: 56.666668
Comparing 28e913dd.java-c8eed693.java: 78.45304
Comparing 28e913dd.java-c8eee1b5.java: 100.0
Comparing 28e913dd.java-c8ef4e53.java: 75.13812
Comparing 28e913dd.java-c8ef4ed1.java: 75.13812
Comparing 28e913dd.java-c8ef59db.java: 66.666664
Comparing 28e913dd.java-c8efad25.java: 75.97765
Comparing 28e913dd.java-c8f0a147.java: 40.677967
Comparing 28e913dd.java-c8f12773.java: 60.77348
Comparing 28e913dd.java-c8f17e07.java: 41.21212
Comparing 28e913dd.java-c8f1f6c3.java: 53.254436
Comparing 28e913dd.java-c8f1fd6f.java: 74.31694
Comparing 28e913dd.java-c8fc1135.java: 93.478264
Comparing 28e913dd.java-c8fc145d.java: 42.424244
Comparing 28e913dd.java-c8fc75b7.java: 40.4908
Comparing 28e913dd.java-c8fc7dd3.java: 48.67725
Comparing 28e913dd.java-c8fc85b5.java: 74.44444
Comparing 28e913dd.java-c8fcedf5.java: 71.95122
Comparing 28e913dd.java-c8feaccf.java: 34.83871
Comparing 28e913dd.java-c8fecb2f.java: 97.674416
Comparing 28e913dd.java-c8feceb3.java: 35.227272
Comparing 28e913dd.java-c8ff250d.java: 74.07407
Comparing 28e913dd.java-c8ff37b5.java: 33.87978
Comparing 28e913dd.java-c8ffb40d.java: 73.37278
Comparing 28e913dd.java-c9002b93.java: 76.404495
Comparing 28e913dd.java-c90b060f.java: 86.06061
Comparing 28e913dd.java-c90b7619.java: 52.459015
Comparing 28e913dd.java-c90beaf5.java: 18.181818
Comparing 28e913dd.java-c90c6a19.java: 78.723404
Comparing 28e913dd.java-c90cc7cd.java: 37.894737
Comparing 28e913dd.java-c90dbf73.java: 56.14035
Comparing 28e913dd.java-c90dcf2d.java: 40.47619
Comparing 28e913dd.java-c90e288d.java: 95.55556
Comparing 28e913dd.java-c918b435.java: 86.85714
Comparing 28e913dd.java-c918b7db.java: 92.48555
Comparing 28e913dd.java-c91adc4b.java: 80.0
Comparing 28e913dd.java-c91b542d.java: 61.928932
Comparing 28e913dd.java-c91b576d.java: 42.105263
Comparing 28e913dd.java-c91c47af.java: 84.57143
Comparing 28e913dd.java-ce150f05.java: 0.0
Comparing 2a747371.java-2c0d1dc7.java: 47.55245
Comparing 2a747371.java-5a3d9d17.java: 35.66879
Comparing 2a747371.java-62a7d00f.java: 61.05263
Comparing 2a747371.java-8817f911.java: 58.064518
Comparing 2a747371.java-882778f3.java: 35.66879
Comparing 2a747371.java-88410179.java: 48.535564
Comparing 2a747371.java-89c0ad55.java: 61.691544
Comparing 2a747371.java-8a143451.java: 52.87356
Comparing 2a747371.java-8a2f7a59.java: 50.292397
Comparing 2a747371.java-8a30813b.java: 78.40909
Comparing 2a747371.java-8b8148d7.java: 42.236023
Comparing 2a747371.java-8d44b4f3.java: 62.105263
Comparing 2a747371.java-8d7e6ffb.java: 41.666668
Comparing 2a747371.java-8f21e915.java: 54.054054
Comparing 2a747371.java-8f32d4b7.java: 45.569622
Comparing 2a747371.java-8f4e1e21.java: 43.786983
Comparing 2a747371.java-910eb659.java: 57.575756
Comparing 2a747371.java-9247808b.java: 41.0
