Language accepted: Java1.7 Parser
Command line: ../../jplag_helper/test_files 
initialize ok
197 submissions

197 submissions parsed successfully!
0 parser errors!


Comparing 28e913dd.java-c0923edf.java: 9.777778
Comparing 28e913dd.java-c09389cf.java: 0.0
Comparing 28e913dd.java-c0938cd5.java: 18.62745
Comparing 28e913dd.java-c093a75f.java: 21.73913
Comparing 28e913dd.java-c0da213d.java: 23.571428
Comparing 28e913dd.java-c20c64d7.java: 0.0
Comparing 28e913dd.java-c20c777f.java: 18.834082
Comparing 28e913dd.java-c21b77bf.java: 8.695652
Comparing 28e913dd.java-c21e2a8f.java: 16.86747
Comparing 28e913dd.java-c22ae58f.java: 23.868313
Comparing 28e913dd.java-c248de89.java: 0.0
Comparing 28e913dd.java-c254c319.java: 0.0
Comparing 28e913dd.java-c255af15.java: 10.6508875
Comparing 28e913dd.java-c2805355.java: 6.430868
Comparing 28e913dd.java-c28d9159.java: 9.230769
Comparing 28e913dd.java-c3d2ff33.java: 9.661836
Comparing 28e913dd.java-c3d30025.java: 17.840376
Comparing 28e913dd.java-c3dd7f75.java: 6.3157897
Comparing 28e913dd.java-c3dedfd9.java: 0.0
Comparing 28e913dd.java-c3df5437.java: 10.752688
Comparing 28e913dd.java-c3e10fe9.java: 6.779661
Comparing 28e913dd.java-c3fa108f.java: 35.53719
Comparing 28e913dd.java-c3fa1b77.java: 0.0
Comparing 28e913dd.java-c3fb7879.java: 12.1673
Comparing 28e913dd.java-c3fb7c93.java: 10.169492
Comparing 28e913dd.java-c3fb7f99.java: 14.492754
Comparing 28e913dd.java-c3fcc66f.java: 15.613383
Comparing 28e913dd.java-c3fcdd53.java: 8.256881
Comparing 28e913dd.java-c3fce495.java: 9.160305
Comparing 28e913dd.java-c3fdba4d.java: 23.367697
Comparing 28e913dd.java-c3fdc5b3.java: 20.350878
Comparing 28e913dd.java-c4089f1b.java: 8.494208
Comparing 28e913dd.java-c4091737.java: 22.857143
Comparing 28e913dd.java-c40987d7.java: 0.0
Comparing 28e913dd.java-c40988f5.java: 33.606556
Comparing 28e913dd.java-c409f973.java: 19.09091
Comparing 28e913dd.java-c40aff9d.java: 0.0
Comparing 28e913dd.java-c4173659.java: 26.29108
Comparing 28e913dd.java-c417aac1.java: 17.589577
Comparing 28e913dd.java-c417aafb.java: 16.17647
Comparing 28e913dd.java-c417aea1.java: 11.965812
Comparing 28e913dd.java-c417b23d.java: 20.083681
Comparing 28e913dd.java-c418269b.java: 30.075188
Comparing 28e913dd.java-c4182efb.java: 17.19457
Comparing 28e913dd.java-c41900d3.java: 17.391304
Comparing 28e913dd.java-c41970f5.java: 9.688581
Comparing 28e913dd.java-c4245659.java: 28.820961
Comparing 28e913dd.java-c42465b7.java: 8.783784
Comparing 28e913dd.java-c4247087.java: 14.285714
Comparing 28e913dd.java-c4247157.java: 11.3879
Comparing 28e913dd.java-c433755f.java: 26.710098
Comparing 28e913dd.java-c44346d7.java: 11.764706
Comparing 28e913dd.java-c44352f5.java: 13.253012
Comparing 28e913dd.java-c5762555.java: 8.230453
Comparing 28e913dd.java-c595f40d.java: 8.695652
Comparing 28e913dd.java-c595f7a9.java: 9.737827
Comparing 28e913dd.java-c5b29371.java: 15.827338
Comparing 28e913dd.java-c5becd8f.java: 6.769231
Comparing 28e913dd.java-c5cde117.java: 0.0
Comparing 28e913dd.java-c5dc59f5.java: 28.571428
Comparing 28e913dd.java-c5dc6573.java: 22.5
Comparing 28e913dd.java-c5dc6879.java: 0.0
Comparing 28e913dd.java-c5dc779d.java: 8.928572
Comparing 28e913dd.java-c5e6e921.java: 7.310705
Comparing 28e913dd.java-c5e749db.java: 19.69697
Comparing 28e913dd.java-c5e7551f.java: 16.233767
